timestamp,tool,phase,x_minus,x_plus,y_minus,y_plus,center_x,center_y,z_result,z_offset,nsew_x_depth,nsew_y_depth
2026-07-17T07:44:55,T0,TX+,251.863,0,5,0.25,,,,,,
2026-07-17T07:44:55,T0,TY-,0.400,1,1,0.25,,,,,,
2026-07-17T07:44:55,T0,TY-,0.400,1,2,0.25,,,,,,
2026-07-17T07:44:55,T0,TY-,0.400,1,3,0.25,,,,,,
2026-07-17T07:44:55,T0,TY-,0.412,1,4,0.25,,,,,,
2026-07-17T07:44:55,T0,TY-,0.400,1,5,0.25,,,,,,
2026-07-17T07:44:55,T0,TY+,3.650,0,1,0.25,,,,,,
2026-07-17T07:44:55,T0,TY+,3.613,0,2,0.25,,,,,,
2026-07-17T07:44:55,T0,TY+,3.613,0,3,0.25,,,,,,
2026-07-17T07:44:55,T0,TY+,3.600,0,4,0.25,,,,,,
2026-07-17T07:44:55,T0,TY+,3.600,0,5,0.25,,,,,,
2026-07-17T07:44:55,T0,S,249.1600,251.8675,0.4025009,3.615001,250.5137,2.008751,,0.25,0.25
2026-07-17T07:44:55,T0,TC,5.438,,1,,,,,,,
2026-07-17T07:44:55,T0,TC,5.438,,2,,,,,,,
2026-07-17T07:44:55,T0,TC,5.438,,3,,,,,,,
2026-07-17T07:44:55,T0,TC,5.435,,4,,,,,,,
2026-07-17T07:44:55,T0,TC,5.438,,5,,,,,,,
2026-07-17T07:44:55,T0,C,,,,,250.5137,2.008751,5.437000,
2026-07-17T07:44:55,T1,TX-,249.138,1,1,0.25,,,,,,
2026-07-17T07:44:55,T1,TX-,249.138,1,2,0.25,,,,,,
2026-07-17T07:44:55,T1,TX-,249.138,1,3,0.25,,,,,,
2026-07-17T07:44:55,T1,TX-,249.138,1,4,0.25,,,,,,
2026-07-17T07:44:55,T1,TX-,249.138,1,5,0.25,,,,,,
2026-07-17T07:44:55,T1,TX+,251.901,0,1,0.25,,,,,,
2026-07-17T07:44:55,T1,TX+,251.888,0,2,0.25,,,,,,
2026-07-17T07:44:55,T1,TX+,251.888,0,3,0.25,,,,,,
2026-07-17T07:44:55,T1,TX+,251.876,0,4,0.25,,,,,,
2026-07-17T07:44:55,T1,TX+,251.888,0,5,0.25,,,,,,
2026-07-17T07:44:55,T1,TY-,0.200,1,1,0.25,,,,,,
2026-07-17T07:44:55,T1,TY-,0.187,1,2,0.25,,,,,,
2026-07-17T07:44:55,T1,TY-,0.200,1,3,0.25,,,,,,
2026-07-17T07:44:55,T1,TY-,0.187,1,4,0.25,,,,,,
2026-07-17T07:44:55,T1,TY-,0.187,1,5,0.25,,,,,,
2026-07-17T07:44:55,T1,TY+,3.538,0,1,0.25,,,,,,
2026-07-17T07:44:55,T1,TY+,3.525,0,2,0.25,,,,,,
2026-07-17T07:44:55,T1,TY+,3.513,0,3,0.25,,,,,,
2026-07-17T07:44:55,T1,TY+,3.513,0,4,0.25,,,,,,
2026-07-17T07:44:55,T1,TY+,3.513,0,5,0.25,,,,,,
